bag_time_s,x_m,y_m,z_m
92.486571458,2.8347977886269633,0.6729132398008045,-0.24353287326859677
92.51959636000001,2.830718212768176,0.6775141497931702,-0.2393303690076281
92.55322019,2.821111096339221,0.6883510874426378,-0.23910866470890405
92.586036033,2.8114376949673665,0.6976682140900555,-0.2384993180642556
92.621821932,2.8065836521956364,0.7025117579779971,-0.23592040690432456
92.65354165000001,2.7968581179058964,0.7121992468245788,-0.23537092875864943
92.68619139900001,2.7868017335678896,0.7225857345926393,-0.2354579857803721
92.72041461900001,2.7820310497113714,0.7274980396604867,-0.23339865234057022
92.752952205,2.7717163269192318,0.7381043413086243,-0.23343991757649368
92.786500524,2.760863228606837,0.749238527225526,-0.23349900917865818
92.821364449,2.7555854283739754,0.754779486541871,-0.2319124553863988
92.85345879500001,2.7458821284046055,0.7648030190276105,-0.23243715225862124
92.88697005,2.7346986991663145,0.7763405922810664,-0.2330767598280906
92.91997878000001,2.7296950167602474,0.7821134993774504,-0.23505810892298434
92.953570482,2.720319828611226,0.7922926685816497,-0.23575993182658098
92.986505029,2.7101033485099575,0.8033779977918915,-0.2365644169743011
93.020354087,2.7049863442334336,0.8089286608270834,-0.2342136836752981
93.05663875200001,2.6949045136433236,0.8201012740896717,-0.2351879990860438
93.087864171,2.683970484473847,0.8321098420865445,-0.23624458821541253
93.119714308,2.6796401132023746,0.8368647426377893,-0.23400312778906648
93.15437864500001,2.6695794029921203,0.8476276613833461,-0.23497178140791844
93.186561561,2.6594496556136944,0.858548365519631,-0.23598618476589373
93.221255154,2.654374721724449,0.8640178944883581,-0.23237929248347014
93.256459218,2.644533319277538,0.8741005344477277,-0.23307468444884938
93.28746035200001,2.6345534755123268,0.8844940503746064,-0.23386972562864722
93.319721415,2.6295540247809166,0.8896986889434059,-0.23072381973753914
93.353363227,2.6198616116350784,0.8993547909311035,-0.23115637969408248
93.38756914300001,2.610910616460234,0.9083108913525597,-0.2315641258858058
93.420375637,2.6075618702395347,0.9116589338967009,-0.23166446027682622
93.453491385,2.597641823814291,0.9219964326412173,-0.23224511151076835
93.486547447,2.5878739004392797,0.9321997133290235,-0.2328207972544154
93.52026652500001,2.583837296703731,0.9364164290899124,-0.23022774407708999
93.553278182,2.5743363572636055,0.9463396123824047,-0.23076524237815468
93.58639666900001,2.5637493271093335,0.9564706616939445,-0.23140073083544513
93.619761659,2.5586674788106243,0.9615048524373244,-0.2322516787255727
93.65363374900001,2.548490800094182,0.9715824909728262,-0.2328354390002068
93.68667462600001,2.5375039994953017,0.9821308594833522,-0.2331173713430821
93.72012836100001,2.5331557942069747,0.9863336876766446,-0.23364938974094568
93.752932559,2.5229075117534405,0.9962258263617466,-0.23397714884607984
93.78672261700001,2.5122190898560524,1.007453394556068,-0.23490480267742672
93.81951917500001,2.501842635073208,1.018079948003892,-0.23368308434364735
93.853382659,2.496224110288245,1.0237825387656785,-0.23410218977355066
93.88650960300001,2.485280983336456,1.0346428534018217,-0.23506890857962678
93.91997273400001,2.4808394287956568,1.0389559099485028,-0.231036349947406
93.95305459400001,2.470305711920368,1.049020485785781,-0.23191575073347295
93.987752263,2.45878640201996,1.0591786717247182,-0.23283249141962897
94.01926951,2.4530223136810867,1.064150533029252,-0.22861163510081095
94.05315418100001,2.4413532498656125,1.0739386867735519,-0.22952788008338282
94.086388201,2.4294500054934747,1.0834883997898395,-0.23046068295080407
94.12107662000001,2.4234050038556414,1.0881601895020363,-0.23054245304231064
94.15331140400001,2.4111983670379264,1.097373958617949,-0.23150448550187228
94.185853053,2.397903273169578,1.107090314988551,-0.23257591023902716
94.220415234,2.392592200250065,1.110867375653748,-0.234420320885044
