t_s,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18
55.020193788,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.036231648000005,1500,1500,1500,1500,1760,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.052338045000006,1500,1500,1500,1500,1757,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.070276646,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.082584524000005,1500,1500,1500,1500,1747,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.096562665,1500,1500,1500,1500,1740,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.12013309,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.156820739000004,1500,1500,1500,1500,1740,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.170271619000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.22042454100001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.221265538000004,1500,1500,1500,1500,1740,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.271457467000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.272732517,1500,1500,1500,1500,1740,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.276750616,1500,1500,1500,1500,1738,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.291643707000006,1500,1500,1500,1500,1733,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.307834674000006,1500,1500,1500,1500,1725,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.320347097,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.321208603,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.370954303000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.381425986,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.411574913,1500,1500,1500,1500,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.420416977,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.426104985,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.47052793,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.50184368,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.521148991000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.561938121000004,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.570314028000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.620519754,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.627089294,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.670281463,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.678662386000006,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.720505062,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.740510338,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.770269067,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.812389416,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.812446730000005,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.815563259,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.82023941800001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.867050467000006,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.870422271,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.891853621,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.920540436,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
55.951530476,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.966120114000006,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
55.970240967,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.020663168000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.041292579,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.071246922,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.101546673,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.12058402700001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.161523447,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.170523104000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.17616515300001,1500,1500,1500,1500,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.19175867800001,1500,1500,1500,1537,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.207113083,1500,1500,1500,1554,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.220268506000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.221948002000005,1500,1500,1500,1582,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.237244732,1500,1500,1500,1614,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.25121514200001,1500,1500,1500,1641,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.270376342000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.271141539000006,1500,1500,1500,1651,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.311691759000006,1500,1500,1500,1651,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.320811845,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.327583416,1500,1500,1500,1651,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.328311698,1500,1500,1500,1646,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.343635263,1500,1500,1500,1646,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.343820087000005,1500,1500,1500,1611,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.356141564000005,1500,1500,1500,1611,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.357949782000006,1500,1500,1500,1572,1723,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.370261311,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.386054478000005,1500,1500,1500,1572,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.386467683000006,1500,1500,1500,1534,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.386484703,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.401360484,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.420354181,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.470266827,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.497538000000006,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.520425242,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.570305547000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.586480645,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.620301107,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.627367805000006,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.655374221,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.670406156000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.671112660000006,1500,1500,1500,1534,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.68670744800001,1500,1500,1500,1554,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.701989548,1500,1500,1500,1574,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.716639816000004,1500,1500,1500,1577,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.72024488,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.770632652,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.77786356,1500,1500,1500,1577,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.820459307,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.836725691000005,1500,1500,1500,1577,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.870457944,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.920307908000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.932193728,1500,1500,1500,1577,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.94200180000001,1500,1500,1500,1584,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.957051733,1500,1500,1500,1609,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
56.970400689,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
56.971460320000006,1500,1500,1500,1611,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.021228852,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.032921149,1500,1500,1500,1582,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.046974282,1500,1500,1500,1554,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.062073394,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.070218038,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.077568752000005,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.120311608,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.153296079,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.170609017000004,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.212441737000006,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.222625648000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.27061015500001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.302675036000004,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.320707070000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.36784414500001,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.370425833000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.420374649,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.42753698400001,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.457504436,1500,1500,1500,1500,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.457524078000006,1500,1500,1500,1500,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.47048482100001,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.482306345000005,1500,1500,1500,1500,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.482321279000004,1500,1500,1500,1472,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.482372187,1500,1500,1500,1445,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.49773244,1500,1500,1500,1408,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.520464309000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.530529509000004,1500,1500,1500,1353,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.530551251000006,1500,1500,1500,1353,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.53056058000001,1500,1500,1500,1294,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.530593938,1500,1500,1467,1294,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.551088128,1500,1500,1467,1247,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.55109933000001,1500,1500,1450,1247,1720,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.556473013,1500,1500,1450,1247,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.557161196,1500,1500,1450,1204,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.557340016000005,1500,1500,1445,1204,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.570827255000005,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.571604996000005,1500,1500,1445,1200,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.616551567,1500,1500,1442,1200,1718,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.620554794,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.646901427,1500,1500,1442,1200,1713,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.671216194,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.672729131000004,1500,1500,1442,1200,1710,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.672832628,1500,1500,1442,1202,1710,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.67731310800001,1500,1500,1442,1202,1708,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.677332063,1500,1500,1442,1217,1708,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.718511580000005,1500,1500,1442,1232,1708,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.718633392,1500,1500,1445,1232,1708,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
57.720355317000006,65535,65535,0,0,0,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
57.737230409000006,1500,1500,1445,1274,1708,1500,1500,1500,1100,1500,1500,1500,1500,1500,1500,1500,1500,1500
