axis,kind,start_s,end_s,duration_s,count,status,r2,rmse,coefficient,value
pitch_m,combined,,,,380,ok,0.8727284157480192,0.8440703824912411,linear_damping_q,-11.0702405816
pitch_m,combined,,,,380,ok,0.8727284157480192,0.8440703824912411,quadratic_damping_q,-17.760666424
pitch_m,combined,,,,380,ok,0.8727284157480192,0.8440703824912411,restoring_pitch,69.2548131902
pitch_m,combined,,,,380,ok,0.8727284157480192,0.8440703824912411,bias_torque_pitch,-0.419560826299
pitch_m,segment,3.6653820889999995,7.2153820889999984,3.549999999999999,72,ok,0.7777138387600777,0.14569942456937723,added_inertia_q_dot,-1.31609023668
pitch_m,segment,3.6653820889999995,7.2153820889999984,3.549999999999999,72,ok,0.7777138387600777,0.14569942456937723,linear_damping_q,2.98599768589
pitch_m,segment,3.6653820889999995,7.2153820889999984,3.549999999999999,72,ok,0.7777138387600777,0.14569942456937723,quadratic_damping_q,-140.673915587
pitch_m,segment,3.6653820889999995,7.2153820889999984,3.549999999999999,72,ok,0.7777138387600777,0.14569942456937723,restoring_pitch,41.425829474
pitch_m,segment,3.6653820889999995,7.2153820889999984,3.549999999999999,72,ok,0.7777138387600777,0.14569942456937723,bias_torque_pitch,1.28627480161
pitch_m,segment,24.315382088999996,25.065382088999996,0.75,16,ok,0.999034440847043,0.08429907333156443,added_inertia_q_dot,-0.522656685934
pitch_m,segment,24.315382088999996,25.065382088999996,0.75,16,ok,0.999034440847043,0.08429907333156443,linear_damping_q,-0.525136474569
pitch_m,segment,24.315382088999996,25.065382088999996,0.75,16,ok,0.999034440847043,0.08429907333156443,quadratic_damping_q,10.1227853858
pitch_m,segment,24.315382088999996,25.065382088999996,0.75,16,ok,0.999034440847043,0.08429907333156443,restoring_pitch,52.7364254011
pitch_m,segment,24.315382088999996,25.065382088999996,0.75,16,ok,0.999034440847043,0.08429907333156443,bias_torque_pitch,-5.75548638674
pitch_m,segment,83.91538208899998,84.66538208899998,0.75,16,ok,0.9559369995293183,0.005649232758845321,added_inertia_q_dot,0.916444474176
pitch_m,segment,83.91538208899998,84.66538208899998,0.75,16,ok,0.9559369995293183,0.005649232758845321,linear_damping_q,-15.5799508556
pitch_m,segment,83.91538208899998,84.66538208899998,0.75,16,ok,0.9559369995293183,0.005649232758845321,quadratic_damping_q,3019.06030689
pitch_m,segment,83.91538208899998,84.66538208899998,0.75,16,ok,0.9559369995293183,0.005649232758845321,restoring_pitch,226.838684639
pitch_m,segment,83.91538208899998,84.66538208899998,0.75,16,ok,0.9559369995293183,0.005649232758845321,bias_torque_pitch,-1.69320062095
pitch_m,segment,86.81538208899998,89.31538208899998,2.5,51,ok,0.6897257094629401,0.04210664146216515,added_inertia_q_dot,0.390369534692
pitch_m,segment,86.81538208899998,89.31538208899998,2.5,51,ok,0.6897257094629401,0.04210664146216515,linear_damping_q,-12.271631213
pitch_m,segment,86.81538208899998,89.31538208899998,2.5,51,ok,0.6897257094629401,0.04210664146216515,quadratic_damping_q,571.815974705
pitch_m,segment,86.81538208899998,89.31538208899998,2.5,51,ok,0.6897257094629401,0.04210664146216515,restoring_pitch,-7.7477146112
pitch_m,segment,86.81538208899998,89.31538208899998,2.5,51,ok,0.6897257094629401,0.04210664146216515,bias_torque_pitch,2.4539360591
pitch_m,segment,97.91538208899998,98.86538208899998,0.9500000000000028,20,ok,0.9761849942282305,0.033969282762417105,added_inertia_q_dot,4.11147962428
pitch_m,segment,97.91538208899998,98.86538208899998,0.9500000000000028,20,ok,0.9761849942282305,0.033969282762417105,linear_damping_q,-1.52043232783
pitch_m,segment,97.91538208899998,98.86538208899998,0.9500000000000028,20,ok,0.9761849942282305,0.033969282762417105,quadratic_damping_q,-121.09693162
pitch_m,segment,97.91538208899998,98.86538208899998,0.9500000000000028,20,ok,0.9761849942282305,0.033969282762417105,restoring_pitch,29.4907358332
pitch_m,segment,97.91538208899998,98.86538208899998,0.9500000000000028,20,ok,0.9761849942282305,0.033969282762417105,bias_torque_pitch,1.56818542838
