t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,mujoco_fluid_fx,mujoco_fluid_fy,mujoco_fluid_fz,mujoco_fluid_tx,mujoco_fluid_ty,mujoco_fluid_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
97.865382089,0.210034974284,-0.00766232060829,0.0329839420827,0.00848987101776,0.0656035053943,0.0862931070016,0.152477345275,0.0557536118621,0.00865812898518,0.0342797454657,-0.053497950578,0.489303215049,23.3580409743,0.328435462903,-19.576177062,0.728879086709,-3.23829980056,3.54709203957,-3.75925624536,-0.0368012787858,-0.793033854091,-0.0477782718832,-0.19901770338,-0.312978697902,-21.0003239309,0.533667957643,19.7100554309,-0.71265187792,3.21849325432,-3.1853374508
97.915382089,0.217339681757,-0.00477954509436,0.0332751018181,0.00963738875418,0.0623394321951,0.105973689475,0.1349897656,0.0616355006869,-0.000879944308809,0.00648170728694,-0.0698033603282,0.321752117345,24.1795216668,-0.0738515046966,-20.934613942,0.665451286959,-3.46541119119,3.01338438985,-4.06564600133,-0.131069022781,-0.828740892758,-0.0608787563471,-0.216151980719,-0.424794203761,-22.0922104635,1.02690502346,20.9210075948,-0.66238300229,3.43956789309,-2.77550468394
97.965382089,0.223533950844,-0.0014987705396,0.0328959476518,0.00913804174645,0.0586231693615,0.118468318736,0.115007086299,0.0592293193611,-0.012542375927,-0.0129775909654,-0.0815387676489,0.19023610311,24.6490024663,-0.399338214613,-21.9387240975,0.639864128622,-3.63369736507,2.53929832243,-4.34019584865,-0.228631912134,-0.844865516825,-0.0672509445041,-0.22131197958,-0.513025326012,-22.8706781717,1.31518558508,21.7447846409,-0.646007408723,3.60350926713,-2.39865182526
98.015382089,0.228840390387,0.00114338684175,0.0320208642254,0.00833962965763,0.0541855554302,0.124997299786,0.100486698396,0.0330628024168,-0.0199576764135,-0.0176302385388,-0.0878349350705,0.089498329638,24.5792356977,-0.571217348458,-22.2493849317,0.592823513817,-3.68640834637,2.20986551643,-4.56913332065,-0.30443789186,-0.842931177895,-0.0690157299792,-0.21628189851,-0.565835149706,-23.0254363381,1.08245875694,21.9407846361,-0.601169245615,3.65388921836,-2.14369707437
98.065382089,0.233582620683,0.00180750970208,0.0309001800105,0.00737501789257,0.0498396758545,0.1274181517,0.0906185256645,0.0035744499051,-0.0249748977128,-0.00747635682526,-0.082696956734,0.0116828718723,24.3789291393,-0.689381403703,-22.3435976048,0.539777583637,-3.70293120779,1.98229114076,-4.72652659205,-0.32223517221,-0.827877095516,-0.0655673204577,-0.207186308247,-0.57611122218,-22.9777187364,0.744652181449,21.9574173372,-0.543316711526,3.6723143135,-1.97365368983
98.115382089,0.237902242954,0.00150083183226,0.0295233744541,0.00759199397511,0.0459158597568,0.126165586973,0.0841862423994,-0.00130770540511,-0.0302448308628,0.00761490254577,-0.0843322311002,-0.0506451810064,24.0141874512,-0.670498685252,-22.3647836005,0.484100780491,-3.70760586613,1.74006684689,-4.84017874776,-0.309224468133,-0.802551728939,-0.0630249382605,-0.195308391642,-0.555882734764,-22.7124377508,0.650277980885,21.8971157442,-0.480496068384,3.67638354421,-1.77751014599
98.165382089,0.242001244923,0.00167673916157,0.0278756969242,0.00813650814715,0.0414064527445,0.122353633599,0.0791993808529,0.00811319257717,-0.0356594224696,0.00615910138586,-0.0947407938581,-0.0988331055711,23.6668925493,-0.793313230288,-22.3708208131,0.43259140098,-3.70966803976,1.50321378049,-4.95426433077,-0.305888702645,-0.769121550319,-0.0611784848167,-0.178871871618,-0.526023942669,-22.442253376,0.918765390941,21.8194285524,-0.429675830203,3.67459215565,-1.5762836651
98.215382089,0.245822181039,0.00231215108998,0.0259574322071,0.00820790411369,0.036441780371,0.116282276416,0.0590025502599,0.0236816189862,-0.0393537970937,-0.000678579732423,-0.1085932336,-0.139133478362,23.5145926669,-0.899001639769,-22.2937372104,0.403955837874,-3.72350379592,1.29237519348,-5.06436490659,-0.311649373503,-0.727235543668,-0.0576982338035,-0.158985038252,-0.488779477218,-22.6022517673,1.26518427889,21.6852198076,-0.404277061234,3.68329932305,-1.3952401915
98.265382089,0.247901499949,0.00404490106019,0.0239403172148,0.00806865017391,0.0305471293844,0.108440285763,0.0240456095412,0.0468158542049,-0.0411641373455,-0.0099939670816,-0.118127828583,-0.161071093792,23.1815169669,-0.928671516828,-22.1508844809,0.389330287507,-3.74678499651,1.06993488109,-5.13424138407,-0.344695533044,-0.676371050437,-0.0544411772145,-0.135593711624,-0.453533491048,-22.8097060377,1.65257274399,21.5143742634,-0.394061191668,3.70305053053,-1.18901892858
98.315382089,0.248226741993,0.00699373651046,0.0218410184726,0.00720850740553,0.0246289975128,0.100175167037,-0.00471617899351,0.0661030880054,-0.0454661729925,-0.017705932019,-0.118474456554,-0.173864222251,22.8755389346,-0.972499589285,-22.0068700989,0.374501968641,-3.76974539929,0.859258991158,-5.17373301509,-0.41008895343,-0.618801670767,-0.0507892355746,-0.111831098849,-0.429680438326,-22.9484639687,1.99463423446,21.303838637,-0.382883531917,3.72588260124,-0.987801331138
