t,nu_u,nu_v,nu_w,nu_p,nu_q,nu_r,nudot_udot,nudot_vdot,nudot_wdot,nudot_pdot,nudot_qdot,nudot_rdot,thr_fx,thr_fy,thr_fz,thr_tx,thr_ty,thr_tz,target_fx,target_fy,target_fz,target_tx,target_ty,target_tz
75.915382089,-0.0179372816313,0.0093348091112,-0.00621269650536,0.00171668318028,-0.00133832830251,0.000379527578358,-0.00433576847287,-0.00806246332902,-0.00119598261054,0.0027988654811,-0.0133688918065,0.00177139212059,0,0,-25.1524270213,0.434070291804,0.206889001386,0,-0.0670428463074,-0.124667747646,25.1339338571,-0.432745376058,-0.2118385662,0.00130963625094
75.965382089,-0.0180804957926,0.0088943769326,-0.00619154750515,0.00176261978005,-0.00176912639476,0.000496150214889,-0.00172559792948,-0.00910558392557,0.00274428592267,-0.000135601639642,-0.00542488676406,0.00021113183802,0,0,-25.1693965838,0.428124645916,0.219389971649,0,-0.0266824664412,-0.140797246781,25.2118307544,-0.428188836478,-0.221398427476,0.000156095257276
76.015382089,-0.0181098414243,0.00842425071864,-0.00593826791309,0.00170312301632,-0.00188081697891,0.00040064076216,0.000547229932977,-0.00956276099142,0.00723279714276,0.00264200023374,0.000834375215169,-0.000740295274881,0,0,-25.5067507972,0.459310206764,0.208663391895,0,0.00846167237041,-0.147866455378,25.6185896351,-0.458059547261,-0.208354481159,-0.000547319544397
76.065382089,-0.0180257727993,0.00793810083346,-0.00546826779087,0.00202681980342,-0.00168568887324,0.000422120687401,0.00278997403428,-0.0094764320852,0.0111058926065,0.00110671897038,0.00466247002512,0.000420351622914,0,0,-25.9630569301,0.506331012389,0.191080915972,0,0.0431406339044,-0.146531574231,26.1347844233,-0.50580711819,-0.189354729695,0.000310776883963
76.115382089,-0.0178308440208,0.00747660751012,-0.00482767865244,0.00181379491336,-0.0014145699764,0.000442675924451,0.00482936482867,-0.00904785863774,0.0143544717563,-0.00656711309349,0.00921700125327,0.0012840312247,0,0,-26.4494017042,0.55694132784,0.171189200296,0,0.0746751967954,-0.139904655854,26.6713611215,-0.560050041568,-0.167776789922,0.00094931766923
76.165382089,-0.0175428363165,0.00703331496969,-0.00403282061524,0.00137010849407,-0.000763988747914,0.000550523809871,0.00553548253217,-0.00837447874814,0.0166497821347,-0.00501527969042,0.0126184635517,0.00197069564328,0,0,-26.944352693,0.608580055073,0.150635876353,0,0.0855937089269,-0.129492359919,27.2018038904,-0.610954168112,-0.145964142593,0.00145698652716
76.215382089,-0.0172772957676,0.00663915963531,-0.00316270043897,0.00131226694431,-0.000152723621229,0.000639745488779,0.00498863277289,-0.00730180578771,0.0181120340918,-0.00531880165118,0.0124782450662,0.00242966647261,0,0,-27.4417694037,0.660513427216,0.129892998469,0,0.0771379150823,-0.112905900362,27.7218310181,-0.663031220267,-0.125273177798,0.00179631559453
76.265382089,-0.0170439730392,0.00630313439092,-0.00222161720606,0.000838228328953,0.000483835758705,0.000793490457132,0.00486787337081,-0.00538695104206,0.0180141429169,-0.00868808630038,0.0118922966701,0.00378708221083,0,0,-27.8937401223,0.701713086172,0.1168955737,0,0.0752706442433,-0.0832970056031,28.1722880711,-0.705825817712,-0.112492688704,0.00279988834261
76.315382089,-0.0167905084305,0.0061004645311,-0.00136128614728,0.000443458314276,0.00103650604578,0.00101845370986,0.00534057787095,-0.00249085651482,0.0159579755852,-0.00609890883277,0.00788759951394,0.00603601348281,0,0,-28.3448187206,0.74268037581,0.104318123237,0,0.082579949468,-0.0385154584572,28.5915726954,-0.745567452878,-0.101397897269,0.00446258170419
76.365382089,-0.0165099152521,0.00605404873943,-0.000625819647538,0.000228337445675,0.0012725957101,0.00139709180541,0.00637205107424,0.000732114354321,0.0127545682552,-0.00512320991798,0.00438071701937,0.00773605909659,0,0,-28.8131796994,0.787691992382,0.0943392121868,0,0.0985293480282,0.0113204914984,29.0104002301,-0.790117197,-0.0927173393248,0.00571946962764
76.415382089,-0.0161533033231,0.00617367596653,-8.58293217608e-05,-6.88626775227e-05,0.00147457774772,0.00179205961952,0.00809419871642,0.00409876392801,0.00864421468747,-0.0046110493814,0.00255002471642,0.00818666160918,0,0,-29.2962030625,0.829269044843,0.0818840497825,0,0.125158463585,0.0633781074324,29.4298662782,-0.831451804955,-0.0809399541317,0.00605261178087
76.465382089,-0.0157004953804,0.00646392513223,0.000238601821209,-0.000232767492464,0.00152759818174,0.00221575796633,0.00999301101844,0.00750106697326,0.00421874308941,-0.003849366328,-0.00211389048667,0.00884181221454,0,0,-29.6359029206,0.8674782922,0.0688531842573,0,0.154519298263,0.11598702361,29.7011362342,-0.869300489835,-0.0696358099321,0.00653698165732
76.515382089,-0.0151540022213,0.00692378266386,0.000336044987181,-0.000453799310323,0.00126318869905,0.00267624084098,0.0122038585102,0.0113595346614,-0.000645803833386,-0.00202145323567,-0.00581594201258,0.00990935823745,0,0,-29.3280517759,0.886581001933,0.0671768941752,0,0.188705050921,0.175649493554,29.3180658813,-0.88753790938,-0.0693301303865,0.00732624618826
76.565382089,-0.0144801095294,0.00759987859837,0.00017402143787,-0.000434912816031,0.000946003980483,0.00320669379008,0.0145207336937,0.0155718425282,-0.00570541317533,-0.00470983047389,-0.00560846430997,0.00997621681434,0,0,-28.8420254843,0.901948990839,0.0621973450866,0,0.224530281861,0.240783301017,28.7538041826,-0.904178511549,-0.0642737668281,0.00737567647248
76.615382089,-0.0137019288519,0.00848096691668,-0.000234496330352,-0.000924782357712,0.000702342268056,0.00367386252241,0.0159632445723,0.0193380172497,-0.0102617889342,-0.00397829458967,-0.00442033511223,0.00805183372973,0,0,-28.2804723942,0.914116606865,0.0554597871482,0,0.246835447769,0.299018669118,28.1217970538,-0.915999836045,-0.0570963278168,0.00595293002407
76.665382089,-0.0128837850722,0.00953368032334,-0.000852157455546,-0.000832742274998,0.00050397046926,0.00401187716305,0.0166448994049,0.0227107832554,-0.0143515312347,0.00313060103175,-0.00352824792005,0.00608957533627,0,0,-27.6860267767,0.926752870956,0.049227574111,0,0.25737569697,0.351170861829,27.4641128279,-0.925270919562,-0.0505338373385,0.00450218137506
76.715382089,-0.0120374389114,0.0107520452422,-0.00166964945382,-0.000611722254537,0.000349517476051,0.00428282005604,0.0169756102857,0.0250942776528,-0.0174643508601,3.39025764527e-05,-0.00264167834465,0.00435961402835,0,0,-27.089338415,0.942417865254,0.0450348787381,0,0.262489392244,0.388026208133,26.819291756,-0.942401816588,-0.0460129073116,0.00322317600112
76.765382089,-0.0111862240436,0.0120431080886,-0.00259859254156,-0.000829352017353,0.000239802634795,0.00444783856588,0.0172278844671,0.0264663925,-0.019487981184,0.00184832730915,-0.00236964041909,0.00220935099464,0,0,-26.4909538145,0.956866111732,0.0416196006052,0,0.266390241489,0.409242858744,26.1896162925,-0.955991157943,-0.0424969125776,0.00163343063346
76.815382089,-0.0103146504647,0.0133986844922,-0.00361844757222,-0.000426889523622,0.000112553434142,0.0045037551555,0.0171718118071,0.0274323902714,-0.0194169718374,0.00610813420714,-0.00164721555793,0.000503912670007,0,0,-25.9208779048,0.963971399903,0.0447755181388,0,0.265523204711,0.42417982794,25.6206383817,-0.961079955765,-0.0453853667548,0.000372555738665
76.865382089,-0.00946904286292,0.0147863471158,-0.0045402897253,-0.000218538596639,7.50810790026e-05,0.00449822983288,0.016445858507,0.0279416551426,-0.0172444030133,0.00399166159593,0.000808605832494,0.000196322514276,0,0,-25.3143241581,0.969952194402,0.053907872954,0,0.254297979972,0.432054456557,25.0476784947,-0.968062637602,-0.0536085028166,0.00014514633919
76.915382089,-0.00867006461399,0.0161928500065,-0.00534288787355,-2.77233640296e-05,0.000193414017391,0.00452338740693,0.0149830981822,0.0271893994079,-0.0141541433738,0.00635146848802,0.00109813990783,8.36039533747e-05,0,0,-24.6911015406,0.972145995628,0.0657754246403,0,0.231679702208,0.420422524197,24.4722397483,-0.969139362881,-0.0653688603022,6.18105764327e-05
76.965382089,-0.0079707330447,0.0175052870566,-0.00595570406268,0.000416608252164,0.000184895069786,0.00450659022822,0.0129949922066,0.0253131980541,-0.0102957431912,0.00636421813324,-0.000158696466992,-9.07752812624e-05,0,0,-24.1939757359,0.970591505048,0.0762735735957,0,0.200938142967,0.391411316658,24.0347753698,-0.967578836925,-0.0763323277887,-6.71125255946e-05
77.015382089,-0.00737056539333,0.0187241698119,-0.00637246219268,0.000608698449294,0.000177544370692,0.0045143098788,0.0107103360098,0.0231609606499,-0.00613309634245,0.00632070008773,0.00105092265871,0.000791010038375,0,0,-24.1979671263,0.952230817719,0.081693704002,0,0.165611105735,0.358131836351,24.1031326723,-0.949238749994,-0.0813046209061,0.000584814287632
77.065382089,-0.00689969944373,0.0198213831215,-0.00656901369692,0.00104867826094,0.000289987335656,0.00458569123206,0.00763192891879,0.0201263671309,-0.0013356607984,0.00735564641206,0.00128398487324,0.00250416600935,0,0,-24.4525055457,0.924015809166,0.0841325284157,0,0.118010507418,0.311208715763,24.4318525745,-0.92053382269,-0.0836571586961,0.00185139503903
